transaction_id,store_id,product_id,quantity,unit_price,transaction_ts,payment_method,cashier_id
b0e6937b-38f1-4c4b-9ffc-20b4fc4bfcdc,2,112,16,97.7,2026-04-28 16:55:37,contactless,2
2c616003-969a-4288-a7e4-1b87abe54e81,10,87,3,197.27,2026-03-13 08:11:00,mobile,40
077ae516-c884-4f01-82cb-8d6c3f6ebffb,3,134,10,95.0,2026-02-21 21:55:15,cash,49
c5cb8877-9246-4888-a6b8-2667122314d1,4,126,2,169.97,2026-02-18 13:20:27,mobile,38
5da4d332-4719-4866-b939-87aff40c761c,1,137,17,47.64,2026-02-22 19:37:10,card,35
dbabf437-7904-4c30-a0a5-4d336605b62a,3,107,3,226.23,2026-03-31 16:08:13,contactless,39
4dde1b10-267d-48d1-99d9-b8c9bb6f3d04,2,18,7,21.85,2026-04-05 20:22:41,card,38
a720c52c-ac28-4f12-862d-b7d1b0c9a900,3,112,10,152.6,2026-04-19 13:59:04,card,12
84a83c5a-1ddf-42bf-be7f-abcc17505c3c,8,75,17,80.01,2026-05-02 18:32:34,contactless,21
7fb0fc9a-421c-47fd-96f8-5713a3fb0fbc,6,59,19,114.4,2026-05-17 22:20:23,mobile,42
bcc7d156-d26b-4210-9ea3-78582568f7a4,8,126,14,200.61,2026-04-12 11:39:21,card,48
a839595c-7c39-4bc5-950c-92421dffd749,1,109,3,224.87,2026-04-29 08:23:45,mobile,45
9b4af667-a6d3-4589-8e82-3f336bd819f3,6,36,14,286.27,2026-04-22 07:12:25,mobile,18
3061c1f2-a506-4841-b7fd-2efa52b1dc03,5,9,17,86.58,2026-03-24 10:13:44,mobile,15
af16893e-5e9a-46a0-8afa-291a50241c83,3,11,4,135.27,2026-04-04 19:32:37,cash,45
c2d59416-c0d2-4107-a3a5-483dd9d61d00,5,114,14,81.1,2026-03-13 02:57:49,card,32
fef7db36-ebac-495d-8eac-7a3b48b1c76b,2,98,20,283.53,2026-04-02 05:54:54,mobile,50
c9ed08d2-1c58-4755-a97a-76daa4443547,2,132,14,38.9,2026-05-02 10:03:19,cash,33
8353cff3-2361-4be3-8db6-ed470120bad7,8,31,18,291.75,2026-05-15 21:21:02,cash,17
d04dda90-46e7-4437-b79e-f39c7e5349d9,6,189,13,91.69,2026-02-18 18:17:42,contactless,19
d5fe397d-7982-45fd-9533-9837f9ed1ce6,2,64,18,120.56,2026-02-18 19:34:19,contactless,49
7827ec97-0f1f-4b20-a1d8-e028cf9421d7,6,182,12,61.65,2026-04-29 20:45:13,contactless,6
7e3e8848-dfd0-4061-b80d-3bdc1c20420f,3,130,14,256.17,2026-04-18 22:56:00,cash,2
98abf46f-eb1e-4e32-88e9-6f752d549a97,8,75,10,230.77,2026-03-21 08:24:36,cash,3
c15c4717-2abb-44e9-b300-51b0346abbc8,6,12,2,53.38,2026-03-16 08:25:31,card,40
958e6564-43fa-46c4-85e6-15c5742fef45,2,88,18,164.6,2026-05-05 16:20:59,card,44
da8f3181-5fe1-4540-8fdb-0c9e0dc6204a,4,71,14,55.22,2026-04-11 13:04:36,contactless,19
e95eba99-adab-4e17-b731-b6a95f96ddb1,1,188,14,24.86,2026-04-09 11:32:03,card,46
a1d1c8af-4cca-490b-9dc7-75b7cd4eef5b,3,47,3,45.78,2026-05-13 18:47:15,card,27
6d63aaf5-1775-4ca5-b41a-6cb532bdd6c7,4,60,12,220.06,2026-04-06 21:38:33,card,44
7754cd6e-55a3-4989-ac2a-687bfde0dd80,4,100,16,282.19,2026-04-20 08:15:25,card,16
d4c8f456-7f3c-4c45-b80a-bc9f6e4040aa,5,99,6,283.12,2026-04-21 13:58:02,contactless,7
599b0bac-6489-45e2-8554-5b1a2a4683fa,5,37,18,224.18,2026-03-14 09:37:41,card,14
39399b4f-ef67-4061-b1fd-0d5fef20d1f4,1,104,20,181.76,2026-02-21 17:24:10,contactless,3
6ecace37-5aca-4a13-ad1c-a7779b40e59f,6,73,2,118.18,2026-02-28 02:26:29,contactless,7
021eece0-29c0-4500-93fc-81d748d5c92e,3,198,14,161.43,2026-02-24 19:43:34,mobile,14
5b907f1b-41ae-42f0-a743-67d6b6224a15,2,121,19,79.14,2026-04-06 13:58:13,mobile,15
03afbcf5-502f-4881-8f49-eadfc597345d,10,177,13,233.06,2026-04-22 03:37:58,contactless,50
085e33fe-6a18-4c1f-937d-f5920d72d63d,5,45,12,84.01,2026-04-22 20:57:44,mobile,43
35e17d50-61c7-4e6b-8fca-eeacaeecf009,9,131,1,209.24,2026-02-22 22:35:49,card,48
801ae9b5-97d6-4907-a1f5-fa918ca6e6e4,5,183,19,80.42,2026-03-07 03:02:38,contactless,48
b0802efa-1dac-49ea-87a2-01365d4ffa77,6,14,13,147.54,2026-04-10 11:31:57,cash,2
80d3323f-5463-4889-ab45-51f5f5c1f4a6,6,51,5,222.47,2026-04-06 17:31:01,cash,36
c22de0d5-029e-45a3-a0ae-a234636e8f75,2,195,20,156.06,2026-03-26 03:17:18,cash,9
7efe34d4-d80f-410d-a703-ac83d36a0525,3,172,11,144.28,2026-02-18 04:27:51,mobile,28
c25e10d2-fdb5-4408-b71d-87dd8b17edab,1,93,6,228.97,2026-04-03 14:01:02,cash,2
b5f811eb-b780-44ff-90e6-dc7db33951f0,9,118,11,258.42,2026-03-05 12:02:39,cash,38
bc0581f3-4332-42b5-b618-1b0717e8c3e3,4,71,6,135.54,2026-04-13 09:36:37,contactless,17
c1920cef-01fb-4524-adf2-d5daef6a2bc8,6,62,12,146.61,2026-02-23 14:15:34,contactless,5
ec01e4cc-02f9-433f-8d5d-2a867339e954,1,50,4,205.51,2026-04-24 14:42:14,mobile,38
26f613cd-1e51-4fcd-a6b3-26bd7b275ff9,10,135,19,273.9,2026-03-01 15:33:17,contactless,38
97d05917-753d-4213-b725-5de9a883c0de,1,175,3,187.91,2026-04-23 23:10:25,card,25
a8c0b411-09f3-40f6-ba25-548d722e74c0,10,74,12,156.85,2026-03-31 22:03:24,cash,23
1d7840ba-07e7-4ff9-a03e-d9f7e77741bb,2,157,20,14.93,2026-05-17 19:57:55,card,26
b8f0490a-cad1-44d5-9a7e-9b8ea0d54118,9,118,16,197.43,2026-02-27 17:11:18,cash,27
f95c25e9-12a1-4fa3-bc5e-1dcd3bd6de03,1,96,2,256.9,2026-05-18 17:28:09,mobile,38
551c1df0-21fc-4c56-91b0-b10419167e80,3,190,6,221.23,2026-04-09 14:36:00,cash,46
75b23c1f-d374-47c6-bdd8-729771acfa34,8,98,10,38.4,2026-04-02 01:53:10,cash,38
d885ef83-e159-4139-b73f-570a08f2525c,10,6,10,29.24,2026-05-13 20:01:33,cash,12
b11c7892-a6d1-4b1d-969e-b6019d1dcf47,10,135,6,4.36,2026-03-19 02:17:12,cash,47
96611e50-7335-4012-8c92-b6eeabcd4228,7,43,4,147.26,2026-03-13 17:29:56,cash,13
4ea6589b-f637-46ef-a62f-b43f25492c93,10,3,7,187.24,2026-03-16 23:13:17,cash,24
dce91aac-e40a-4cf5-91ee-ab0b140bcf68,7,54,15,205.14,2026-03-04 12:39:27,cash,40
eba3ed91-0460-4618-be84-6731ff00e1a3,6,65,17,275.27,2026-02-20 04:39:11,card,30
2c74485b-8973-40e9-bb0f-3d140a5b92a9,4,36,15,187.21,2026-04-26 02:50:59,contactless,15
d9bf7e04-b182-4adc-8105-1b93df676b2a,8,66,18,169.63,2026-05-15 03:59:34,card,32
142287a1-844d-4990-915d-d8f0f8a15d9a,1,22,13,105.99,2026-03-27 09:03:06,cash,25
37520a45-a915-4d3b-8220-97b87a2b0f42,5,175,17,287.74,2026-05-12 05:56:31,cash,38
4fa1deb0-7e84-4135-ac35-0f39af91f17b,2,173,12,182.09,2026-02-18 11:36:22,contactless,28
65b8ff66-4344-443a-90b3-d7fbe619f58d,7,186,11,34.79,2026-03-28 00:14:23,contactless,35
62879a66-aa04-41d1-9444-97c1a3044ef7,10,155,9,252.88,2026-05-07 16:10:47,card,48
1bb65cb1-561d-4ad4-9d9f-e3c67b4cd581,8,133,12,180.48,2026-04-23 05:33:59,contactless,10
37906911-e221-43d3-8c96-66ce5093da92,6,168,14,73.2,2026-02-28 09:19:15,contactless,10
eeb86e63-8a00-4558-ae74-2600b56d73ef,2,42,17,83.64,2026-02-28 09:10:18,mobile,29
29aa30c9-b24b-4359-8863-bfb6843ae303,3,45,12,43.02,2026-02-18 11:10:14,cash,5
b0848d6a-ae63-4a54-9528-ad3a434cd5e5,5,47,6,191.18,2026-04-05 06:01:28,cash,35
406fba73-3b02-4808-80cd-28f8bb5eefde,3,12,7,224.15,2026-02-20 02:50:15,card,42
ee9a86ae-215f-4442-870c-81f9371cee11,10,184,19,90.81,2026-03-01 23:15:01,card,29
8a816b35-a15f-4da9-b405-0a12ab751aab,6,115,4,268.79,2026-05-12 22:00:57,mobile,16
3760144e-9061-469e-80b9-067adbb8daa5,3,96,12,203.06,2026-03-23 10:42:15,cash,45
af90913e-ed0e-4ebb-a68c-4ec9654f35ab,3,100,4,35.66,2026-05-01 01:04:22,contactless,5
72c0e187-bd25-4a4c-a31a-4ac2ebb72974,8,43,1,115.16,2026-03-05 11:45:20,cash,1
d5a86e99-368d-493a-a610-73a48914af16,3,71,19,284.49,2026-05-17 21:49:23,card,40
b4854762-f5b2-40d2-84c4-3a71c1be5b38,6,193,6,5.94,2026-05-16 02:27:20,contactless,49
c733a41f-e3b8-4aee-853d-c1018525bb68,10,55,7,111.08,2026-03-20 08:51:46,cash,21
a257f6e4-e4ae-4718-98f7-0fcab5f6e603,3,88,17,212.7,2026-05-14 13:03:11,card,13
d0e794e0-50cd-4507-97cd-60ff2920c895,6,102,4,101.91,2026-03-12 14:10:39,contactless,5
137e330e-33b1-4931-a804-29894872b735,10,12,3,266.52,2026-05-15 01:06:27,mobile,23
35cf8249-9d17-408a-943b-c7e3bfbde09e,2,52,7,277.95,2026-03-25 21:59:41,mobile,9
9289dcc2-f35e-4107-a413-51c068f9d51e,4,70,16,167.24,2026-04-30 14:45:46,cash,34
c6a0f34b-ef23-48e8-a1b6-c1809d7edee6,6,171,6,230.36,2026-03-14 15:46:53,contactless,24
b33f5228-223a-48a0-8bb5-67102b0e3ff8,4,1,8,196.14,2026-02-23 19:44:44,mobile,25
436aab0d-082a-4ea7-8574-c15f96a0deb8,6,193,8,29.26,2026-04-17 16:02:03,card,6
dc23336e-6a71-481e-a2e9-3442fa63f1d3,2,106,20,3.11,2026-03-01 12:43:56,cash,39
a79de139-b516-466b-bb3b-0a9a46bd1776,9,199,6,85.09,2026-04-21 14:07:25,cash,22
e73be498-ae51-4026-aa20-ca20033913ce,9,40,14,262.04,2026-03-16 04:06:02,card,18
e38fb165-d550-4a22-a9f0-8a30d82999a8,5,14,14,10.91,2026-05-02 13:18:17,contactless,46
9970e932-7071-401e-b634-9aed5ad85a84,5,33,13,64.89,2026-05-11 14:41:48,card,19
89b14748-a900-41f5-b69e-ec2c11b8afbc,1,28,17,69.51,2026-04-24 03:13:32,card,25
e42d33d8-704e-4fa5-af96-d646fd4c5b55,5,199,3,191.81,2026-04-05 19:51:52,contactless,4
39438943-55e8-4377-bf3b-1cb5b8414f02,4,177,14,30.54,2026-04-28 12:13:49,cash,49
1ad87d3c-b9b2-4bd0-b32c-297795d13f2f,7,181,6,60.85,2026-03-01 01:05:22,cash,41
98c46207-9837-4ad0-a532-b4689bbd54f5,1,183,13,15.59,2026-04-07 17:08:40,card,6
6135e00f-f0e2-4462-a94a-b619d51a40e8,9,86,19,159.83,2026-04-09 14:24:27,mobile,47
b23a728a-0d94-42e9-b7ef-289f55c4fc1c,7,140,16,282.91,2026-03-10 19:32:40,contactless,46
1cdc034b-c560-4abe-9bde-c8dfb10b3761,10,57,19,253.26,2026-04-30 20:18:41,card,18
23241675-b3c8-4f3e-ba3f-6c922c4d5f3c,5,101,10,240.63,2026-03-06 01:49:40,contactless,27
c73b8ca3-8e9f-4333-bab0-d005ed786760,9,133,17,197.17,2026-04-22 01:16:16,contactless,22
471bba17-b3b1-4744-8511-e936fd6afff2,7,173,16,273.58,2026-02-25 07:59:38,cash,48
8ad65e20-7c3e-4d98-80f1-387bf793f23d,3,109,5,146.61,2026-04-19 09:23:05,card,35
2c342408-9aa6-46da-92bf-d6dbc06da29e,9,125,6,265.96,2026-02-20 07:23:22,card,8
84befb18-c8c4-4a83-a4f2-36dc881901dc,8,109,9,294.87,2026-05-14 23:11:25,cash,12
78060776-0de1-455f-b554-bf49ea2d930b,2,30,13,168.41,2026-04-24 16:52:58,contactless,13
071d51d5-cb25-44d7-bd2d-976dc3788f8a,4,155,4,150.3,2026-02-24 05:21:04,mobile,9
